education,skills,experience,certifications,projects,career
BCA,"Scikit-learn, Python, PyTorch, FastAPI, TensorFlow",8.6,AWS Certified Machine Learning Specialty,End-to-End MLOps Pipeline on Kubernetes,Machine Learning Engineer
B.Sc,"Linux, Nmap, Wireshark, Network Security, Burp Suite, Python, SIEM, Cybersecurity",4.5,Certified Ethical Hacker (CEH),Malware Reverse Engineering Sandbox,Cybersecurity Analyst
B.Sc,"Spark, Machine Learning, Scikit-learn, R, Python, Pandas",7.0,None,House Price Forecasting Pipeline,Data Scientist
B.E,"C++, SQL, Python, Data Structures, Algorithms",4.2,Microsoft Certified C# Developer,Peer-to-Peer Chat Engine,Software Developer
M.S,"Deep Learning, Python, SQL, NLP, Seaborn, Scikit-learn",0.9,TensorFlow Developer Certificate,Credit Risk Scoring Algorithm,Data Scientist
MCA,"PyTorch, Scikit-learn, Pandas, NumPy, R",8.9,Google Data Analytics,Customer Churn Prediction Model,Data Scientist
B.Sc,"Python, CI/CD, GCP, Terraform, Azure, Cloud Architecture",0.1,AWS Solutions Architect Associate,Automated CI/CD Pipeline with Jenkins and Docker,Cloud Engineer
B.Tech,"Docker, CI/CD, GitLab CI, Terraform, Python, Linux, Kubernetes",9.5,AWS Solutions Architect Associate,Automated CI/CD Pipeline with Jenkins and Docker,Cloud Engineer
B.Tech,"Python, Metasploit, Ethical Hacking, Vulnerability Assessment, Linux, Network Security",5.5,Certified Ethical Hacker (CEH),Phishing Simulation & Awareness Program,Cybersecurity Analyst
B.E,"Git, Unit Testing, Data Structures, Docker, Algorithms, C#",1.2,None,Banking Transaction Core System,Software Developer
B.E,"Docker, AWS, MLOps, Scikit-learn, Deep Learning",7.9,None,Autonomous Driving Lane Detection,Machine Learning Engineer
M.S,"Deep Learning, NumPy, Matplotlib, Python, NLP, Statistics, Machine Learning",9.8,None,Sentiment Analysis on Product Reviews,Data Scientist
BCA,"Networking, Terraform, Kubernetes, CI/CD, Cloud Architecture",6.4,AWS Solutions Architect Associate,Multi-Region High Availability AWS Infrastructure,Cloud Engineer
MCA,"Model Deployment, Computer Vision, Python, Scikit-learn, Deep Learning, Kubernetes, PyTorch, Docker",1.9,None,Transformer-based Chatbot Engine,Machine Learning Engineer
M.S,"Git, Python, Docker, Java",9.2,AWS Certified Developer,Multi-threaded File Downloader,Software Developer
B.Tech,"Express, Node.js, Django, JavaScript",1.1,Meta Front-End Developer Certificate,E-Commerce Web Portal with Stripe,Web Developer
B.Tech,"Linux, Nmap, Cybersecurity, Network Security, Metasploit, Firewall",4.4,None,Enterprise Network Vulnerability Assessment,Cybersecurity Analyst
MCA,"Machine Learning, Statistics, Scikit-learn, SQL, Spark, Python",6.5,TensorFlow Developer Certificate,House Price Forecasting Pipeline,Data Scientist
M.Sc,"FastAPI, Python, Scikit-learn, PyTorch, CUDA, TensorFlow, Docker",9.8,AWS Certified Machine Learning Specialty,Automated Image Segmentation for Medical Scans,Machine Learning Engineer
M.S,"Tableau, Data Visualization, Data Analysis, SQL, Business Intelligence, Pandas, Python, R",1.8,Google Data Analytics Certificate,Supply Chain Inventory Analysis,Data Analyst
M.Sc,"Cloud Architecture, GitLab CI, Kubernetes, Linux, Networking",9.9,Microsoft Azure Fundamentals,Serverless Event-Driven ETL with AWS Lambda,Cloud Engineer
B.E,"Cybersecurity, Ethical Hacking, Firewall, SIEM, Network Security, Burp Suite, Vulnerability Assessment, Linux",2.7,Certified Ethical Hacker (CEH),Enterprise Network Vulnerability Assessment,Cybersecurity Analyst
B.Sc,"R, Excel, SQL, Tableau, Power BI",3.0,Tableau Desktop Specialist,Supply Chain Inventory Analysis,Data Analyst
M.Sc,"NumPy, MySQL, Data Analysis, Data Visualization, Power BI, Tableau, SQL",3.7,None,Sales Performance Interactive Dashboard,Data Analyst
BCA,"Machine Learning, NLP, Deep Learning, PyTorch, Docker",9.5,AWS Certified Machine Learning Specialty,Transformer-based Chatbot Engine,Machine Learning Engineer
B.Tech,"CI/CD, Linux, GCP, Docker, AWS, Terraform",6.2,AWS Solutions Architect Associate,Automated CI/CD Pipeline with Jenkins and Docker,Cloud Engineer
M.Tech,"Algorithms, Git, C++, .NET",9.8,Microsoft Certified C# Developer,Peer-to-Peer Chat Engine,Software Developer
M.Sc,"Tableau, Excel, MySQL, Data Analysis, Python",0.9,Microsoft Certified Data Analyst,HR Employee Attrition Insights,Data Analyst
BCA,"Django, React, Node.js, HTML, Flask, REST API, JavaScript",1.3,None,Real-time Collaborative Whiteboard,Web Developer
M.S,"Burp Suite, Ethical Hacking, Network Security, Wireshark, Penetration Testing, Bash, Firewall",5.0,CompTIA Security+,Enterprise Network Vulnerability Assessment,Cybersecurity Analyst
B.Sc,"R, Python, SQL, Machine Learning",8.2,Google Data Analytics,Sentiment Analysis on Product Reviews,Data Scientist
BCA,"Statistics, SQL, Google Analytics, Power BI, Data Analysis, Data Visualization",3.7,Microsoft Certified Data Analyst,HR Employee Attrition Insights,Data Analyst
B.Tech,"Docker, CI/CD, AWS, Azure, GCP, GitLab CI",1.5,Certified Kubernetes Administrator (CKA),Serverless Event-Driven ETL with AWS Lambda,Cloud Engineer
B.E,"Power BI, Pandas, Data Visualization, SQL, Tableau",2.4,Tableau Desktop Specialist,Customer Segmentation and Cohort Study,Data Analyst
BCA,"C++, Python, REST API, OOP",8.5,Microsoft Certified C# Developer,Peer-to-Peer Chat Engine,Software Developer
M.S,"Vue.js, React, PostgreSQL, Bootstrap, JavaScript, REST API",8.6,Full Stack Web Development Bootcamp,Restaurant Food Ordering Web App,Web Developer
M.Tech,"Flask, Express, HTML, TypeScript, JavaScript, PostgreSQL",5.0,JavaScript Specialist,Social Media Feed Web Application,Web Developer
M.Tech,"Linux, GitLab CI, Kubernetes, AWS, Networking",0.8,Google Associate Cloud Engineer,Multi-Region High Availability AWS Infrastructure,Cloud Engineer
B.E,"Networking, Kubernetes, Docker, AWS",0.3,Google Associate Cloud Engineer,Disaster Recovery Infrastructure as Code,Cloud Engineer
B.Sc,"Cybersecurity, SOC, Nmap, SIEM, Linux, Python, Firewall",1.2,CompTIA CySA+,Web Application Penetration Testing Report,Cybersecurity Analyst
B.Sc,"Algorithms, Unit Testing, C++, OOP, Linux, Design Patterns",5.5,AWS Certified Developer,Hospital Management Desktop App,Software Developer
B.Tech,"Linux, Terraform, Jenkins, Kubernetes, Cloud Architecture",9.9,Certified Kubernetes Administrator (CKA),Kubernetes Microservices Cluster Deployment,Cloud Engineer
BCA,"Java, C#, Data Structures, SQL, Algorithms",3.2,Microsoft Certified C# Developer,Hospital Management Desktop App,Software Developer
B.Tech,"Cryptography, Linux, Ethical Hacking, Penetration Testing, Wireshark, Cybersecurity, Bash",1.0,None,Phishing Simulation & Awareness Program,Cybersecurity Analyst
MCA,"Kubernetes, AWS, Bash, Microservices, GCP, Docker",1.2,AWS Solutions Architect Associate,Automated CI/CD Pipeline with Jenkins and Docker,Cloud Engineer
MCA,"NLP, Pandas, Python, Matplotlib, Machine Learning, PyTorch, SQL, NumPy",9.2,None,Customer Churn Prediction Model,Data Scientist
M.Sc,"Machine Learning, Pandas, Scikit-learn, Statistics, R",8.5,IBM Data Science Professional,Credit Risk Scoring Algorithm,Data Scientist
B.Tech,"SQL, Business Intelligence, Excel, Power BI, Google Analytics",7.8,Tableau Desktop Specialist,Customer Segmentation and Cohort Study,Data Analyst
BCA,"Machine Learning, PyTorch, Pandas, Statistics",9.8,IBM Data Science Professional,Customer Churn Prediction Model,Data Scientist
MCA,"MongoDB, JavaScript, React, Express, Tailwind, Flask, HTML",3.2,None,Restaurant Food Ordering Web App,Web Developer
B.Tech,"MySQL, Data Structures, C++, OOP, Python, Linux",1.9,Oracle Certified Java Professional,Distributed Cache Mechanism,Software Developer
M.Sc,"Pandas, Statistics, Spark, Scikit-learn, Python, SQL",8.4,None,Recommendation System for E-Commerce,Data Scientist
M.Tech,".NET, Algorithms, Docker, MySQL, OOP, Data Structures",1.2,AWS Certified Developer,Banking Transaction Core System,Software Developer
M.S,"Terraform, Kubernetes, Linux, CI/CD, GCP, Bash",0.1,Google Associate Cloud Engineer,Disaster Recovery Infrastructure as Code,Cloud Engineer
MCA,"Spring Boot, Algorithms, Data Structures, Java, C++",8.6,Oracle Certified Java Professional,Hospital Management Desktop App,Software Developer
MCA,"Networking, Cloud Architecture, Docker, CI/CD",0.6,Certified Kubernetes Administrator (CKA),Multi-Region High Availability AWS Infrastructure,Cloud Engineer
M.Tech,"SQL, Machine Learning, PyTorch, TensorFlow, Statistics, Pandas",7.4,None,Sentiment Analysis on Product Reviews,Data Scientist
B.Sc,"Spring Boot, C++, Python, Data Structures, REST API, Java, OOP",1.3,Oracle Certified Java Professional,Distributed Cache Mechanism,Software Developer
BCA,"Deep Learning, PyTorch, MLOps, Python",6.8,None,Automated Image Segmentation for Medical Scans,Machine Learning Engineer
B.Sc,"Java, Design Patterns, Algorithms, OOP, SQL, Python, Git",9.2,AWS Certified Developer,Peer-to-Peer Chat Engine,Software Developer
B.Sc,"Nmap, Metasploit, Ethical Hacking, Vulnerability Assessment, Cybersecurity, Linux, Cryptography",8.2,Cisco CCNA Security,Phishing Simulation & Awareness Program,Cybersecurity Analyst
M.Tech,"Azure, CI/CD, GCP, Linux, AWS, Prometheus",7.3,Certified Kubernetes Administrator (CKA),Automated CI/CD Pipeline with Jenkins and Docker,Cloud Engineer
B.Sc,"AWS, Cloud Architecture, Networking, Docker, CI/CD",1.0,Google Associate Cloud Engineer,Disaster Recovery Infrastructure as Code,Cloud Engineer
M.Sc,"Docker, Linux, Unit Testing, Algorithms, C++, Java",5.3,Microsoft Certified C# Developer,Inventory and Billing Management Software,Software Developer
M.S,"Azure, Cloud Architecture, Kubernetes, Terraform, Docker, Linux",4.2,Microsoft Azure Fundamentals,Disaster Recovery Infrastructure as Code,Cloud Engineer
BCA,"AWS, Deep Learning, TensorFlow, Docker, Kubernetes, PyTorch, Model Deployment",0.2,None,Edge AI Device Defect Classifier,Machine Learning Engineer
B.Tech,"React, Express, Node.js, Django, REST API",0.9,Meta Front-End Developer Certificate,Blog CMS with Markdown Support,Web Developer
B.E,"PyTorch, Spark, SQL, Pandas, Python",3.7,None,House Price Forecasting Pipeline,Data Scientist
BCA,"Network Security, Cybersecurity, Linux, Cryptography, Nmap, SIEM",0.4,CompTIA CySA+,Enterprise Network Vulnerability Assessment,Cybersecurity Analyst
BCA,"REST API, CSS, PostgreSQL, Node.js, Django, JavaScript, HTML",6.9,Meta Front-End Developer Certificate,Blog CMS with Markdown Support,Web Developer
M.Sc,"SQL, PyTorch, Scikit-learn, Statistics, Python, Pandas",6.7,TensorFlow Developer Certificate,Credit Risk Scoring Algorithm,Data Scientist
B.Sc,"Git, Spring Boot, Linux, C++, REST API, Python",8.8,AWS Certified Developer,Multi-threaded File Downloader,Software Developer
B.E,"Azure, Ansible, Cloud Architecture, Terraform, Docker",6.6,AWS Solutions Architect Associate,Multi-Region High Availability AWS Infrastructure,Cloud Engineer
M.Sc,"SQL, Big Data, Pandas, Statistics, Python",2.2,TensorFlow Developer Certificate,Customer Churn Prediction Model,Data Scientist
BCA,"Python, Tableau, Pandas, Machine Learning, Seaborn, TensorFlow",9.7,TensorFlow Developer Certificate,Sentiment Analysis on Product Reviews,Data Scientist
B.E,"Networking, Azure, Docker, AWS, Cloud Architecture, GitLab CI, Terraform, Kubernetes",3.3,Google Associate Cloud Engineer,Automated CI/CD Pipeline with Jenkins and Docker,Cloud Engineer
B.E,"Django, Flask, React, JavaScript, Node.js, HTML, CSS",3.8,JavaScript Specialist,E-Commerce Web Portal with Stripe,Web Developer
M.Sc,"SIEM, Firewall, Ethical Hacking, Cybersecurity, Wireshark, Nmap",5.6,None,Web Application Penetration Testing Report,Cybersecurity Analyst
B.E,"Machine Learning, NumPy, Tableau, SQL",5.0,Google Data Analytics,House Price Forecasting Pipeline,Data Scientist
B.E,"OOP, Python, Docker, Git",7.6,Oracle Certified Java Professional,Banking Transaction Core System,Software Developer
M.S,"Scikit-learn, Tableau, Deep Learning, NumPy, Seaborn, Pandas, SQL",2.4,Google Data Analytics,Healthcare Fraud Detection Engine,Data Scientist
B.Sc,"SOC, Cybersecurity, Network Security, Penetration Testing, Wireshark, Ethical Hacking",4.2,Certified Ethical Hacker (CEH),Web Application Penetration Testing Report,Cybersecurity Analyst
B.Sc,"SQL, Tableau, Excel, Pandas, Business Intelligence, Data Visualization, Power BI",0.9,Google Data Analytics Certificate,Supply Chain Inventory Analysis,Data Analyst
M.Tech,"Docker, Scikit-learn, AWS, Machine Learning, Pandas, Kubernetes",9.0,GCP Professional ML Engineer,Real-time Object Detection with YOLO,Machine Learning Engineer
M.S,"SQL, Power BI, R, Statistics, Excel, Google Analytics",0.6,None,Customer Segmentation and Cohort Study,Data Analyst
MCA,"Python, MySQL, Business Intelligence, Data Analysis, NumPy, Data Visualization, Excel, Power BI",8.2,Microsoft Certified Data Analyst,Marketing Campaign ROI Tracker,Data Analyst
B.Tech,"Firewall, Linux, Nmap, Bash, Wireshark",3.8,Certified Ethical Hacker (CEH),Automated Log Analysis SIEM Dashboard,Cybersecurity Analyst
B.Sc,"CSS, Node.js, Vue.js, React, Express, JavaScript",8.2,JavaScript Specialist,Blog CMS with Markdown Support,Web Developer
M.Tech,"Kubernetes, Cloud Architecture, Linux, Terraform, GCP, CI/CD",3.6,Microsoft Azure Fundamentals,Disaster Recovery Infrastructure as Code,Cloud Engineer
BCA,"Node.js, HTML, CSS, REST API, Express, Django",5.2,JavaScript Specialist,Restaurant Food Ordering Web App,Web Developer
M.Tech,"Vue.js, React, HTML, Node.js, Express",3.2,Meta Front-End Developer Certificate,Blog CMS with Markdown Support,Web Developer
M.Tech,"Ethical Hacking, Nmap, Burp Suite, Bash, Penetration Testing, Cybersecurity, Firewall",7.5,Cisco CCNA Security,Enterprise Network Vulnerability Assessment,Cybersecurity Analyst
M.S,"Machine Learning, Tableau, Pandas, Spark, Scikit-learn",7.6,TensorFlow Developer Certificate,Sentiment Analysis on Product Reviews,Data Scientist
BCA,"Python, Terraform, AWS, Prometheus, Linux, Cloud Architecture, Azure",2.2,AWS Solutions Architect Associate,Kubernetes Microservices Cluster Deployment,Cloud Engineer
B.Sc,"Terraform, Kubernetes, Microservices, AWS",3.3,AWS Solutions Architect Associate,Cloud Cost Optimization & Monitoring Setup,Cloud Engineer
B.Sc,"Scikit-learn, Machine Learning, Pandas, SQL, Matplotlib",8.5,TensorFlow Developer Certificate,Credit Risk Scoring Algorithm,Data Scientist
B.E,"Machine Learning, PyTorch, Statistics, Matplotlib, Scikit-learn, Python",8.2,TensorFlow Developer Certificate,Healthcare Fraud Detection Engine,Data Scientist
M.Tech,"Tableau, NLP, Machine Learning, Matplotlib, SQL, NumPy, Statistics",0.8,IBM Data Science Professional,House Price Forecasting Pipeline,Data Scientist
MCA,"Python, MySQL, .NET, Java, Git, C++",7.3,Microsoft Certified C# Developer,Distributed Cache Mechanism,Software Developer
BCA,"R, Statistics, Pandas, Tableau, NumPy, Deep Learning",1.9,IBM Data Science Professional,Credit Risk Scoring Algorithm,Data Scientist
M.S,"Docker, TensorFlow, Computer Vision, Scikit-learn",2.9,DeepLearning.AI TensorFlow Developer,Edge AI Device Defect Classifier,Machine Learning Engineer
B.E,"Power BI, Data Analysis, Data Visualization, MySQL, Statistics",7.2,Google Data Analytics Certificate,Financial Quarterly KPI Visualization,Data Analyst
M.S,"Business Intelligence, Power BI, SQL, Python, NumPy, Data Analysis, Excel",0.1,Tableau Desktop Specialist,Supply Chain Inventory Analysis,Data Analyst
B.Tech,"Bootstrap, REST API, HTML, React, CSS, PostgreSQL",5.2,JavaScript Specialist,Portfolio Showcase with Dynamic Theming,Web Developer
B.Tech,"Ethical Hacking, Cybersecurity, SIEM, Linux",7.7,Certified Ethical Hacker (CEH),Automated Log Analysis SIEM Dashboard,Cybersecurity Analyst
B.E,"Prometheus, Networking, Docker, Linux, Kubernetes",2.9,Google Associate Cloud Engineer,Cloud Cost Optimization & Monitoring Setup,Cloud Engineer
B.Sc,"Penetration Testing, Network Security, Metasploit, Linux, Cryptography, Firewall, Nmap, Ethical Hacking",3.2,CompTIA Security+,Automated Log Analysis SIEM Dashboard,Cybersecurity Analyst
M.Tech,"React, Node.js, HTML, Tailwind, Express, CSS",2.6,None,Social Media Feed Web Application,Web Developer
B.E,"SQL, Excel, Google Analytics, Data Analysis, Tableau",6.7,None,Financial Quarterly KPI Visualization,Data Analyst
MCA,"Tailwind, Node.js, Next.js, CSS, Flask, HTML, Express, REST API",8.3,Full Stack Web Development Bootcamp,Blog CMS with Markdown Support,Web Developer
BCA,"Python, MySQL, Java, Algorithms, OOP",4.2,AWS Certified Developer,Multi-threaded File Downloader,Software Developer
B.Tech,"AWS, Docker, Deep Learning, Python, TensorFlow",1.2,DeepLearning.AI TensorFlow Developer,Automated Image Segmentation for Medical Scans,Machine Learning Engineer
B.E,"Cloud Architecture, CI/CD, Linux, AWS, Python",0.6,AWS Solutions Architect Associate,Disaster Recovery Infrastructure as Code,Cloud Engineer
MCA,"Linux, Burp Suite, SOC, Cybersecurity, Bash, Wireshark",2.1,CompTIA Security+,Malware Reverse Engineering Sandbox,Cybersecurity Analyst
MCA,"Kubernetes, Ansible, Terraform, Docker, Networking",8.2,Certified Kubernetes Administrator (CKA),Automated CI/CD Pipeline with Jenkins and Docker,Cloud Engineer
B.E,"JavaScript, REST API, CSS, Bootstrap, Express",6.9,Meta Front-End Developer Certificate,Portfolio Showcase with Dynamic Theming,Web Developer
B.E,"C++, Data Structures, Unit Testing, Git, MySQL",7.2,Oracle Certified Java Professional,Inventory and Billing Management Software,Software Developer
M.Sc,"Django, JavaScript, React, Express, Tailwind, Node.js, HTML",1.8,Meta Front-End Developer Certificate,Real-time Collaborative Whiteboard,Web Developer
M.Tech,"Firewall, Bash, Cryptography, Nmap, Ethical Hacking",6.1,Cisco CCNA Security,Intrusion Detection System with Snort,Cybersecurity Analyst
MCA,"Tableau, PostgreSQL, Power BI, MySQL, Python, Data Analysis, R",4.6,Tableau Desktop Specialist,Marketing Campaign ROI Tracker,Data Analyst
M.S,"Linux, Nmap, Ethical Hacking, SIEM",5.0,Certified Ethical Hacker (CEH),Enterprise Network Vulnerability Assessment,Cybersecurity Analyst
BCA,"GCP, Docker, AWS, Terraform, Prometheus, Kubernetes, Cloud Architecture",8.4,Microsoft Azure Fundamentals,Multi-Region High Availability AWS Infrastructure,Cloud Engineer
M.S,"Cybersecurity, Linux, Firewall, Metasploit, SIEM",8.6,Cisco CCNA Security,Web Application Penetration Testing Report,Cybersecurity Analyst
MCA,"Docker, Model Deployment, FastAPI, TensorFlow, Machine Learning, Deep Learning, Python",6.2,DeepLearning.AI TensorFlow Developer,Edge AI Device Defect Classifier,Machine Learning Engineer
B.E,"NumPy, Data Visualization, SQL, PostgreSQL, Python, Statistics, Excel",0.2,Microsoft Certified Data Analyst,Supply Chain Inventory Analysis,Data Analyst
MCA,"Docker, PyTorch, Deep Learning, Scikit-learn, FastAPI",7.9,DeepLearning.AI TensorFlow Developer,Real-time Object Detection with YOLO,Machine Learning Engineer
B.Sc,"TensorFlow, Machine Learning, Kubernetes, Docker, Python, Deep Learning",4.4,AWS Certified Machine Learning Specialty,Transformer-based Chatbot Engine,Machine Learning Engineer
M.Sc,"React, Node.js, HTML, Express, Angular, JavaScript",9.6,None,Blog CMS with Markdown Support,Web Developer
B.Sc,"TensorFlow, Docker, Machine Learning, Python, Kubernetes, Computer Vision",6.0,DeepLearning.AI TensorFlow Developer,Automated Image Segmentation for Medical Scans,Machine Learning Engineer
B.E,"Cloud Architecture, Python, Docker, Kubernetes, Networking, Terraform",8.9,Certified Kubernetes Administrator (CKA),Disaster Recovery Infrastructure as Code,Cloud Engineer
M.Tech,"Node.js, CSS, REST API, MongoDB, Vue.js, React",4.5,Meta Front-End Developer Certificate,Restaurant Food Ordering Web App,Web Developer
MCA,"Spark, NumPy, Python, R, Pandas",5.7,Google Data Analytics,Customer Churn Prediction Model,Data Scientist
B.Tech,"Data Analysis, NumPy, Excel, Statistics, R, Data Visualization, Python, SQL",5.0,Microsoft Certified Data Analyst,HR Employee Attrition Insights,Data Analyst
M.Tech,"SQL, Data Structures, C++, Java, Python, Unit Testing",5.7,Microsoft Certified C# Developer,Multi-threaded File Downloader,Software Developer
BCA,"NLP, Machine Learning, PyTorch, Python, Deep Learning, TensorFlow",0.7,None,Edge AI Device Defect Classifier,Machine Learning Engineer
MCA,"PyTorch, Pandas, Python, Machine Learning, Scikit-learn, Kubernetes, MLOps",0.7,GCP Professional ML Engineer,Real-time Object Detection with YOLO,Machine Learning Engineer
B.E,"R, Power BI, Python, Data Analysis, Statistics",6.8,Tableau Desktop Specialist,HR Employee Attrition Insights,Data Analyst
B.E,"Tableau, Scikit-learn, Seaborn, Statistics, NumPy, Machine Learning",3.3,Google Data Analytics,Recommendation System for E-Commerce,Data Scientist
M.Sc,"Docker, Deep Learning, Scikit-learn, Machine Learning, NLP, Python, MLOps, Kubernetes",6.6,AWS Certified Machine Learning Specialty,End-to-End MLOps Pipeline on Kubernetes,Machine Learning Engineer
B.Sc,"Power BI, Statistics, Excel, SQL",9.2,Google Data Analytics Certificate,Financial Quarterly KPI Visualization,Data Analyst
BCA,"C++, Git, SQL, Data Structures, OOP, Java",7.4,AWS Certified Developer,Multi-threaded File Downloader,Software Developer
B.E,"Machine Learning, Computer Vision, Docker, Python, Scikit-learn, Model Deployment",7.1,DeepLearning.AI TensorFlow Developer,Transformer-based Chatbot Engine,Machine Learning Engineer
B.E,"CSS, React, REST API, Express, HTML, Next.js, TypeScript",0.2,Meta Front-End Developer Certificate,Portfolio Showcase with Dynamic Theming,Web Developer
M.Sc,"Node.js, Vue.js, React, Flask, JavaScript, REST API",4.9,None,Portfolio Showcase with Dynamic Theming,Web Developer
M.S,"Firewall, Metasploit, Nmap, Cryptography, Linux, Wireshark, Network Security",7.0,Cisco CCNA Security,Malware Reverse Engineering Sandbox,Cybersecurity Analyst
M.Sc,"Machine Learning, NLP, PyTorch, Statistics, NumPy",3.1,IBM Data Science Professional,Recommendation System for E-Commerce,Data Scientist
B.Tech,"GCP, Prometheus, Cloud Architecture, AWS, GitLab CI, Linux, Docker",0.8,Microsoft Azure Fundamentals,Disaster Recovery Infrastructure as Code,Cloud Engineer
M.Sc,"TypeScript, Node.js, Express, CSS, HTML",1.7,Full Stack Web Development Bootcamp,E-Commerce Web Portal with Stripe,Web Developer
MCA,"MLOps, PyTorch, Docker, Scikit-learn",2.1,AWS Certified Machine Learning Specialty,Transformer-based Chatbot Engine,Machine Learning Engineer
M.S,"Machine Learning, Deep Learning, Python, NLP, FastAPI, MLOps",2.3,GCP Professional ML Engineer,Edge AI Device Defect Classifier,Machine Learning Engineer
M.S,"Big Data, Pandas, Scikit-learn, Python",1.2,IBM Data Science Professional,Customer Churn Prediction Model,Data Scientist
MCA,"TensorFlow, PyTorch, Machine Learning, Deep Learning, Computer Vision",7.1,AWS Certified Machine Learning Specialty,End-to-End MLOps Pipeline on Kubernetes,Machine Learning Engineer
M.Tech,"Flask, REST API, CSS, MongoDB, React",3.4,Full Stack Web Development Bootcamp,E-Commerce Web Portal with Stripe,Web Developer
M.S,"SQL, MySQL, Excel, Pandas, Tableau",5.9,Tableau Desktop Specialist,Financial Quarterly KPI Visualization,Data Analyst
M.Sc,".NET, Spring Boot, OOP, Python, Algorithms",3.1,Microsoft Certified C# Developer,Multi-threaded File Downloader,Software Developer
B.E,"SQL, Machine Learning, R, Statistics, TensorFlow",1.4,None,Customer Churn Prediction Model,Data Scientist
M.S,"Model Deployment, Scikit-learn, PyTorch, Pandas, TensorFlow, Python",7.2,GCP Professional ML Engineer,Automated Image Segmentation for Medical Scans,Machine Learning Engineer
MCA,"Machine Learning, NLP, Pandas, Statistics, NumPy",1.9,IBM Data Science Professional,Recommendation System for E-Commerce,Data Scientist
MCA,"Firewall, SOC, Cybersecurity, Wireshark",6.7,None,Phishing Simulation & Awareness Program,Cybersecurity Analyst
B.E,"Data Visualization, Python, Statistics, Excel, SQL, Power BI",5.8,Tableau Desktop Specialist,Customer Segmentation and Cohort Study,Data Analyst
M.Tech,"Nmap, Wireshark, Linux, Penetration Testing",6.6,CompTIA Security+,Malware Reverse Engineering Sandbox,Cybersecurity Analyst
MCA,"CSS, JavaScript, Express, React, Node.js, Bootstrap",7.3,Meta Front-End Developer Certificate,Restaurant Food Ordering Web App,Web Developer
BCA,"Firewall, Ethical Hacking, Penetration Testing, Linux",2.9,CompTIA CySA+,Enterprise Network Vulnerability Assessment,Cybersecurity Analyst
M.Tech,"SQL, Power BI, Google Analytics, Data Visualization, Tableau",3.9,None,HR Employee Attrition Insights,Data Analyst
BCA,"React, PostgreSQL, JavaScript, Vue.js, Node.js, Express, Django",7.0,JavaScript Specialist,Blog CMS with Markdown Support,Web Developer
BCA,"Node.js, Flask, CSS, Express, JavaScript, Tailwind, HTML, MongoDB",1.4,None,Portfolio Showcase with Dynamic Theming,Web Developer
M.S,"AWS, Ansible, Docker, Cloud Architecture, Linux, GitLab CI",5.7,Certified Kubernetes Administrator (CKA),Multi-Region High Availability AWS Infrastructure,Cloud Engineer
M.Tech,"Power BI, Pandas, PostgreSQL, Excel, Data Analysis",9.3,Tableau Desktop Specialist,Customer Segmentation and Cohort Study,Data Analyst
B.E,"Linux, Algorithms, Java, C++, Design Patterns, Python, Unit Testing",0.5,Oracle Certified Java Professional,Peer-to-Peer Chat Engine,Software Developer
M.S,"Docker, Scikit-learn, Deep Learning, Python, Machine Learning, Pandas, FastAPI",7.6,AWS Certified Machine Learning Specialty,Transformer-based Chatbot Engine,Machine Learning Engineer
BCA,"MLOps, TensorFlow, Scikit-learn, Docker, AWS, Python, Deep Learning",4.8,DeepLearning.AI TensorFlow Developer,Edge AI Device Defect Classifier,Machine Learning Engineer
BCA,"CSS, Vue.js, JavaScript, Next.js, Node.js",7.9,None,Social Media Feed Web Application,Web Developer
B.Tech,"OOP, C#, Python, C++, Git",5.2,None,Inventory and Billing Management Software,Software Developer
M.Tech,"Linux, OOP, Python, Algorithms, Java, C++",9.8,None,Hospital Management Desktop App,Software Developer
M.S,"Excel, R, SQL, Python",8.6,Microsoft Certified Data Analyst,Supply Chain Inventory Analysis,Data Analyst
M.S,"Data Structures, Java, Linux, .NET, Python, Git",0.9,AWS Certified Developer,Distributed Cache Mechanism,Software Developer
MCA,"Power BI, MySQL, SQL, Tableau",8.4,None,HR Employee Attrition Insights,Data Analyst
B.E,"OOP, Java, Python, Docker, C++",7.5,None,Multi-threaded File Downloader,Software Developer
B.Tech,"Pandas, TensorFlow, Python, Matplotlib, Statistics",7.5,None,Sentiment Analysis on Product Reviews,Data Scientist
B.Tech,"Penetration Testing, Ethical Hacking, Linux, Bash, Wireshark, Metasploit, Cybersecurity",7.8,CompTIA CySA+,Automated Log Analysis SIEM Dashboard,Cybersecurity Analyst
BCA,"Docker, Machine Learning, PyTorch, Python, Deep Learning, CUDA, NLP",2.8,GCP Professional ML Engineer,Autonomous Driving Lane Detection,Machine Learning Engineer
M.Sc,"Python, Machine Learning, Spark, Scikit-learn, Statistics, NumPy",8.8,TensorFlow Developer Certificate,House Price Forecasting Pipeline,Data Scientist
BCA,"R, Machine Learning, Seaborn, Python, Scikit-learn, Pandas",4.9,IBM Data Science Professional,Credit Risk Scoring Algorithm,Data Scientist
M.S,"Ethical Hacking, Firewall, Wireshark, SIEM, Vulnerability Assessment, Penetration Testing, Linux, Nmap",4.2,Cisco CCNA Security,Phishing Simulation & Awareness Program,Cybersecurity Analyst
MCA,"Business Intelligence, Data Analysis, Power BI, Excel, Python",4.1,Tableau Desktop Specialist,HR Employee Attrition Insights,Data Analyst
